"Table: Links"
Device,Local IP,Remote IP,Hyst.,LQ,NLQ,Cost
464119F40130B19E,192.168.1.102,192.168.1.101,0.00,1.000,1.000,1.000,
464119F40130B19E,192.168.1.102,192.168.1.103,0.00,1.000,0.000,INFINITE
464119FBAF567C9E,192.168.1.101,192.168.1.102,0.00,1.000,1.000,1.000,
464119FBAF567C9E,192.168.1.101,192.168.1.103,0.00,1.000,0.000,INFINITE


"Table: Topology"
Device,Dest. IP,Last hop IP,LQ,NLQ,Cost
464119F40130B19E,192.168.1.102,192.168.1.101,1.000,1.000,1.000
464119F40130B19E,192.168.1.101,192.168.1.102,1.000,1.000,1.000
464119FBAF567C9E,192.168.1.102,192.168.1.101,1.000,1.000,1.000
464119FBAF567C9E,192.168.1.101,192.168.1.102,1.000,1.000,1.000


"Table: HNA"
Device,Destination,Gateway


"Table: MID"
Device,IP address,Aliases


"Table: Routes"
Device,Destination,Gateway IP,Metric,ETX,Interface
464119F40130B19E,192.168.1.101/32,192.168.1.101,1,1.000,eth0
464119FBAF567C9E,192.168.1.102/32,192.168.1.102,1,1.000,eth0


"Table: Gateways"
Device,Status,Gateway IP,ETX,Hopcnt,Uplink,Downlnk,IPv4,IPv6,Prefix


"Table: Interfaces"
Device,Name,State,MTU,WLAN,Src-Adress,Mask,Dst-Adress
35313F4360F000EC,eth0,UP,1472,Yes,192.168.1.103,255.255.255.0,192.168.1.255
464119F40130B19E,eth0,UP,1472,Yes,192.168.1.102,255.255.255.0,192.168.1.255
464119FBAF567C9E,eth0,UP,1472,Yes,192.168.1.101,255.255.255.0,192.168.1.255


"Table: Neighbors"
Device,IP address,SYM,MPR,MPRS,Will.
464119F40130B19E,192.168.1.101,YES,NO,NO,3
464119F40130B19E,192.168.1.103,NO,NO,NO,3
464119FBAF567C9E,192.168.1.102,YES,NO,NO,3
464119FBAF567C9E,192.168.1.103,NO,NO,NO,3


